ABG13989,ABX86883,AAS62548
ABG15115,ABX84931,AAS63132
ABG12313,ABX88664,AAS63675
ABG14863,ABX88400,AAS60560
AAS63964,ABX85995,ABG15703
AAS63317,ABX85329,ABG12090
AAS60901,ABX87937,ABG14917
ABG12105,ABX85449,AAS63331
ABG14811,ABX88214,AAS60664
AAS60643,ABX88337,ABG14790
AAS64136,ABX85347,ABG14958
ABG12298,ABX85729,AAS63661
ABG12656,ABX86573,AAS61439
ABG14803,ABX88521,AAS60656
ABG15633,ABX88666,AAS64033
AAS62934,ABX85320,ABG14285
ABG14939,ABX87146,AAS60878
ABG12932,ABX85260,AAS61147
ABG14442,ABX86125,AAS61340
ABG16187,ABX84830,AAS58697
ABG12693,ABX87838,AAS61134
ABG16054,ABX85132,AAS63829
AAS63439,ABX88405,ABG12215
AAS60930,ABX88305,ABG14721
AAS63978,ABX85139,ABG15689
AAS61030,ABX85068,ABG14622
AAS63428,ABX87314,ABG12204
AAS61067,ABX86242,ABG14586
AAS63339,ABX87238,ABG12113
ABG15820,ABX86400,AAS63903
ABG12449,ABX86973,AAS63051
AAS62961,ABX87977,ABG12517
AAS63243,ABX85400,ABG12003
ABG16163,ABX84798,AAS58662
ABG14613,ABX86065,AAS61040
ABG15874,ABX85002,AAS60797
AAS63326,ABX87573,ABG12099
AAS62454,ABX87699,ABG13885
ABG14746,ABX88041,AAS60601
ABG15753,ABX87421,AAS63491
AAS63993,ABX87026,ABG15672
ABG15068,ABX85608,AAS63179
AAS62119,ABX87765,ABG13408
ABG12733,ABX85896,AAS61604
ABG15423,ABX86344,AAS60362
AAS61033,ABX85746,ABG14619
AAS61294,ABX87447,ABG12558
AAS62606,ABX88171,ABG14047
AAS62762,ABX88378,ABG14295
ABG12208,ABX87812,AAS63432
AAS60440,ABX87953,ABG15271
AAS62256,ABX87085,ABG13567
ABG15063,ABX86728,AAS63184
ABG14719,ABX86640,AAS60933
AAS61089,ABX86068,ABG14555
AAS58672,ABX84828,ABG16173
ABG12852,ABX87669,AAS61218
ABG12820,ABX84894,AAS61685
AAS63201,ABX84912,ABG15040
AAS61053,ABX86296,ABG14600
ABG15089,ABX85773,AAS63159
AAS61783,ABX86924,ABG13188
ABG15854,ABX88168,AAS63938
AAS61543,ABX87529,ABG12976
ABG15847,ABX86775,AAS63930
ABG15735,ABX85427,AAS63471
ABG12306,ABX85646,AAS63668
ABG13403,ABX87831,AAS62115
AAS60497,ABX86386,ABG15211
AAS62798,ABX84962,ABG14134
ABG15652,ABX88260,AAS64012
AAS61825,ABX88399,ABG13144
AAS63840,ABX88599,ABG16042
AAS61657,ABX87870,ABG12789
AAS63210,ABX85715,ABG15028
AAS61888,ABX87467,ABG13260
AAS58569,ABX88770,ABG16273
ABG12946,ABX86042,AAS61137
ABG13858,ABX85035,AAS61989
AAS61525,ABX87693,ABG12994
AAS63912,ABX85939,ABG15828
AAS63805,ABX88129,ABG15535
ABG13836,ABX86624,AAS62010
AAS63823,ABX87852,ABG15554
AAS62006,ABX86013,ABG13840
ABG14711,ABX85160,AAS60941
ABG14238,ABX87509,AAS62892
AAS61938,ABX86840,ABG13313
ABG12048,ABX87324,AAS60824
AAS58593,ABX88715,ABG16296
ABG12359,ABX87432,AAS63730
AAS60812,ABX86372,ABG12058
ABG13341,ABX88662,AAS62059
AAS61824,ABX87053,ABG13145
AAS61052,ABX88544,ABG14601
AAS60998,ABX88209,ABG14655
ABG12097,ABX86293,AAS63325
ABG16224,ABX84744,AAS58731
AAS58596,ABX88703,ABG16298
AAS61029,ABX87386,ABG14623
AAS64017,ABX86342,ABG15648
AAS64169,ABX87010,ABG16129
ABG13830,ABX87278,AAS62014
AAS62208,ABX85015,ABG13517
AAS62962,ABX87673,ABG12516
AAS62780,ABX86544,ABG14116
ABG15691,ABX85945,AAS63976
ABG14525,ABX85414,AAS61122
AAS60576,ABX87913,ABG14845
AAS61634,ABX87378,ABG12766
ABG12778,ABX86877,AAS61646
AAS62753,ABX85106,ABG14303
AAS63945,ABX87241,ABG15719
ABG16176,ABX84787,AAS58684
AAS62273,ABX86886,ABG13589
ABG15251,ABX86245,AAS60459
ABG13553,ABX86589,AAS62242
AAS62258,ABX87865,ABG13569
ABG13511,ABX87976,AAS62202
AAS62474,ABX86353,ABG13911
ABG13299,ABX85479,AAS61923
ABG13914,ABX87361,AAS62476
ABG16305,ABX88707,AAS58603
ABG12132,ABX85007,AAS63358
ABG14393,ABX87139,AAS62700
AAS60668,ABX87274,ABG14816
AAS61277,ABX87473,ABG12575
AAS62100,ABX85392,ABG13387
ABG15840,ABX85840,AAS63923
ABG12231,ABX88578,AAS60395
ABG13732,ABX87000,AAS62415
AAS60336,ABX88177,ABG15450
ABG12636,ABX86416,AAS61458
ABG15612,ABX86394,AAS64055
AAS64011,ABX85884,ABG15653
AAS61048,ABX87582,ABG14605
AAS62777,ABX86139,ABG14113
ABG15760,ABX88420,AAS63498
AAS62542,ABX85255,ABG13983
ABG12103,ABX88348,AAS63330
AAS62555,ABX85334,ABG13997
AAS62701,ABX86020,ABG14396
ABG12421,ABX87773,AAS63023
ABG15040,ABX84912,AAS63201
AAS60981,ABX86335,ABG14673
AAS62071,ABX86041,ABG13353
ABG14871,ABX85017,AAS60554
AAS63415,ABX88688,ABG12191
AAS61785,ABX85405,ABG13186
ABG14928,ABX85444,AAS60888
AAS61124,ABX84935,ABG14523
AAS60933,ABX86640,ABG14719
ABG13009,ABX85468,AAS61274
ABG15890,ABX86121,AAS60779
ABG12612,ABX87284,AAS61483
AAS63791,ABX87437,ABG15524
ABG16097,ABX87043,AAS63568
AAS60830,ABX85457,ABG12042
AAS62988,ABX86944,ABG12491
ABG13545,ABX88113,AAS62234
ABG12436,ABX85580,AAS63038
AAS60546,ABX88473,ABG14879
ABG15647,ABX85489,AAS64019
AAS63880,ABX87302,ABG16003
ABG12990,ABX85421,AAS61529
ABG15168,ABX87239,AAS63084
ABG12058,ABX86372,AAS60812
ABG15701,ABX87393,AAS63966
ABG14603,ABX87702,AAS61050
ABG15459,ABX87243,AAS60327
AAS61784,ABX87919,ABG13187
ABG12465,ABX85349,AAS63009
ABG14021,ABX84940,AAS62582
ABG13106,ABX86899,AAS61859
ABG14965,ABX85918,AAS64131
AAS62199,ABX85833,ABG13508
AAS60832,ABX88263,ABG12040
ABG16319,ABX88718,AAS58536
AAS62000,ABX85586,ABG13847
AAS61212,ABX88249,ABG12858
ABG13274,ABX84925,AAS61901
AAS61422,ABX85711,ABG12677
ABG13320,ABX85496,AAS61942
ABG13581,ABX87426,AAS62265
AAS62809,ABX88269,ABG14145
AAS62252,ABX87493,ABG13563
ABG14062,ABX85036,AAS62622
AAS62436,ABX84947,ABG13752
ABG16191,ABX84861,AAS58702
AAS62585,ABX87695,ABG14024
AAS61501,ABX86450,ABG12593
AAS61638,ABX85295,ABG12770
AAS60872,ABX88172,ABG14945
ABG14505,ABX88326,AAS61399
ABG15414,ABX87948,AAS60372
AAS60977,ABX87603,ABG14676
ABG12675,ABX86468,AAS61424
AAS62595,ABX88055,ABG14034
AAS61380,ABX88196,ABG14484
ABG15489,ABX87932,AAS60297
AAS60774,ABX85303,ABG15894
ABG16026,ABX86213,AAS63857
AAS63678,ABX84810,ABG16033
AAS60456,ABX85573,ABG15254
ABG15885,ABX85248,AAS60784
ABG14163,ABX84982,AAS62825
AAS62942,ABX85658,ABG14096
ABG12372,ABX86384,AAS63716
AAS62135,ABX86276,ABG13424
AAS62171,ABX87083,ABG13478
ABG14908,ABX88448,AAS60907
AAS62272,ABX87313,ABG13588
ABG14067,ABX85567,AAS62627
AAS60934,ABX85800,ABG14718
ABG15036,ABX87192,AAS63202
AAS63279,ABX85689,ABG15580
ABG12156,ABX85552,AAS63381
ABG16067,ABX85001,AAS63544
AAS61843,ABX87099,ABG13125
AAS63399,ABX85066,ABG12174
ABG13996,ABX85276,AAS62554
ABG14484,ABX88196,AAS61380
AAS62694,ABX86451,ABG14387
AAS61269,ABX86292,ABG13016
AAS61200,ABX85973,ABG12870
AAS61490,ABX85734,ABG12604
ABG12376,ABX85542,AAS63711
AAS62760,ABX86014,ABG14297
ABG14093,ABX86206,AAS62945
AAS63238,ABX88220,ABG12007
AAS63369,ABX88218,ABG12145
ABG13812,ABX85410,AAS62031
ABG16149,ABX84789,AAS58648
AAS62289,ABX87636,ABG13607
ABG15177,ABX86847,AAS63075
ABG15687,ABX88143,AAS63980
ABG13102,ABX85527,AAS61863
AAS63221,ABX85453,ABG15016
AAS61521,ABX87586,ABG12998
ABG15603,ABX86120,AAS64064
ABG12945,ABX88623,AAS61138
ABG14145,ABX88269,AAS62809
ABG14858,ABX87562,AAS60564
ABG12437,ABX88365,AAS63039
ABG13489,ABX88150,AAS62182
AAS61275,ABX88357,ABG13008
ABG13420,ABX87886,AAS62131
AAS61249,ABX85200,ABG13035
ABG12211,ABX86430,AAS63435
ABG15262,ABX85854,AAS60448
AAS62370,ABX87681,ABG13688
AAS62175,ABX85464,ABG13482
AAS58755,ABX84782,ABG16209
ABG15435,ABX86837,AAS60350
ABG12430,ABX85789,AAS63032
AAS58690,ABX84746,ABG16180
AAS62635,ABX86709,ABG14075
AAS63640,ABX87436,ABG12276
ABG14398,ABX85417,AAS62703
AAS60955,ABX85597,ABG14696
ABG12379,ABX85804,AAS63708
AAS63181,ABX87860,ABG15066
AAS62928,ABX85374,ABG14279
ABG16155,ABX84772,AAS58654
ABG15458,ABX86270,AAS60328
AAS61786,ABX85705,ABG13185
AAS60770,ABX88504,ABG15897
AAS64176,ABX88653,ABG16136
AAS60667,ABX85599,ABG14814
ABG15845,ABX85637,AAS63928
AAS61563,ABX88651,ABG12954
ABG14192,ABX86154,AAS62851
ABG12924,ABX87176,AAS61155
AAS62779,ABX85282,ABG14115
ABG12903,ABX88154,AAS61173
AAS62514,ABX87564,ABG13955
ABG14032,ABX85168,AAS62593
AAS62559,ABX88672,ABG14001
AAS62239,ABX86151,ABG13550
AAS62427,ABX87054,ABG13744
AAS60680,ABX87414,ABG15989
AAS63218,ABX86957,ABG15020
AAS58523,ABX88713,ABG16310
ABG16076,ABX85556,AAS63550
ABG16034,ABX87920,AAS63847
ABG15646,ABX87942,AAS64020
ABG15237,ABX85478,AAS60472
AAS61064,ABX85361,ABG14589
AAS61604,ABX85896,ABG12733
AAS61002,ABX87411,ABG14651
ABG13551,ABX85768,AAS62240
AAS60476,ABX88386,ABG15233
ABG13174,ABX88604,AAS61795
ABG12883,ABX86345,AAS61189
ABG15644,ABX86240,AAS64022
AAS62312,ABX85317,ABG13630
AAS60321,ABX88463,ABG15465
AAS62480,ABX85737,ABG13919
ABG14686,ABX86445,AAS60965
AAS61546,ABX85190,ABG12971
ABG15204,ABX86167,AAS60505
ABG16069,ABX87286,AAS63546
ABG15755,ABX86712,AAS63493
ABG14474,ABX84958,AAS61372
AAS61532,ABX86552,ABG12987
AAS62978,ABX86079,ABG12500
AAS60564,ABX87562,ABG14858
ABG14043,ABX87201,AAS62602
AAS62080,ABX87011,ABG13362
ABG15660,ABX88561,AAS64003
AAS61553,ABX88197,ABG12964
AAS62720,ABX86002,ABG14417
ABG13980,ABX87069,AAS62539
ABG15945,ABX88557,AAS60725
ABG13412,ABX85726,AAS62123
ABG13234,ABX87894,AAS61741
AAS62489,ABX84883,ABG13928
AAS60716,ABX85232,ABG15954
AAS63030,ABX85225,ABG12428
AAS61103,ABX87365,ABG14538
ABG15047,ABX86474,AAS63195
ABG15263,ABX86402,AAS60447
ABG15155,ABX87707,AAS63097
ABG14658,ABX86914,AAS60995
AAS58744,ABX84836,ABG16217
AAS63331,ABX85449,ABG12105
ABG15913,ABX86722,AAS60755
AAS62715,ABX84951,ABG14412
ABG13104,ABX86307,AAS61861
ABG14138,ABX85236,AAS62802
AAS60889,ABX85056,ABG14927
ABG13475,ABX87652,AAS62168
ABG15837,ABX88528,AAS63920
AAS58767,ABX84784,ABG16242
ABG14052,ABX86085,AAS62611
ABG15712,ABX86734,AAS63953
AAS61147,ABX85260,ABG12932
ABG16332,ABX88749,AAS58531
ABG15948,ABX85815,AAS60722
ABG15834,ABX87181,AAS63917
AAS63200,ABX88281,ABG15041
ABG13400,ABX85196,AAS62112
ABG12468,ABX86412,AAS63006
ABG12329,ABX85663,AAS63753
ABG12119,ABX87971,AAS63345
AAS61189,ABX86345,ABG12883
ABG13075,ABX86064,AAS61713
AAS63004,ABX87115,ABG12470
AAS61473,ABX87357,ABG12622
ABG14925,ABX85821,AAS60892
AAS63002,ABX88216,ABG12475
ABG14037,ABX88478,AAS62596
ABG14110,ABX86853,AAS62774
ABG15541,ABX88514,AAS63811
AAS63370,ABX87783,ABG12146
AAS63550,ABX85556,ABG16076
ABG13790,ABX85653,AAS61950
AAS63212,ABX87844,ABG15026
AAS60303,ABX88417,ABG15483
ABG15774,ABX86140,AAS63512
AAS60669,ABX85495,ABG14820
AAS62550,ABX86741,ABG13991
ABG12099,ABX87573,AAS63326
ABG15754,ABX86894,AAS63492
AAS60688,ABX85180,ABG15981
AAS61406,ABX88530,ABG14514
ABG14725,ABX86632,AAS60926
AAS62415,ABX87000,ABG13732
AAS61461,ABX85087,ABG12633
ABG12253,ABX88237,AAS63619
ABG12294,ABX84993,AAS63657
AAS64027,ABX88500,ABG15639
ABG15968,ABX86792,AAS60701
AAS63919,ABX88014,ABG15836
ABG12921,ABX85470,AAS61158
AAS62592,ABX86693,ABG14031
AAS62915,ABX87561,ABG14265
ABG14636,ABX88556,AAS61016
AAS60509,ABX86258,ABG15200
AAS61152,ABX86069,ABG12927
AAS64120,ABX87916,ABG14975
ABG12582,ABX87015,AAS61512
AAS63862,ABX87289,ABG16021
ABG15203,ABX85211,AAS60506
ABG12172,ABX85055,AAS63397
AAS64022,ABX86240,ABG15644
ABG15179,ABX85155,AAS63073
AAS60585,ABX87449,ABG14836
AAS62791,ABX85986,ABG14127
AAS63166,ABX85767,ABG15082
AAS63690,ABX85564,ABG12397
ABG13852,ABX88182,AAS61995
ABG15007,ABX87123,AAS63227
AAS63664,ABX87631,ABG12301
ABG12772,ABX87535,AAS61640
ABG16220,ABX84796,AAS58736
AAS60880,ABX86322,ABG14937
AAS60914,ABX86171,ABG14901
ABG14758,ABX87482,AAS60612
AAS61198,ABX85145,ABG12872
AAS60764,ABX86732,ABG15902
ABG14853,ABX87187,AAS60569
ABG15022,ABX87618,AAS63216
AAS61403,ABX87720,ABG14510
ABG12194,ABX87461,AAS63418
AAS61097,ABX88264,ABG14544
ABG13476,ABX87209,AAS62169
AAS58645,ABX84801,ABG16145
ABG12780,ABX86066,AAS61648
ABG15420,ABX86406,AAS60366
ABG15274,ABX86700,AAS60437
ABG14251,ABX88320,AAS62903
ABG16113,ABX85426,AAS64153
AAS63876,ABX85601,ABG16007
AAS61769,ABX87520,ABG13205
AAS62967,ABX87049,ABG12511
ABG15889,ABX86595,AAS60780
ABG13893,ABX88596,AAS62462
AAS61692,ABX86093,ABG12829
AAS62774,ABX86853,ABG14110
AAS58650,ABX84845,ABG16151
AAS61377,ABX86594,ABG14481
AAS61301,ABX88426,ABG12551
AAS61040,ABX86065,ABG14613
ABG13419,ABX86683,AAS62130
ABG13273,ABX85380,AAS61900
ABG14281,ABX87536,AAS62930
ABG14947,ABX88370,AAS60870
AAS61780,ABX86241,ABG13191
AAS60805,ABX86094,ABG15866
AAS63249,ABX87544,ABG11997
AAS60471,ABX86017,ABG15238
AAS63622,ABX86651,ABG12730
ABG13271,ABX86493,AAS61898
ABG16065,ABX85907,AAS63542
AAS63836,ABX87325,ABG16046
ABG14885,ABX87428,AAS60539
ABG14722,ABX85438,AAS60929
AAS58598,ABX88747,ABG16301
ABG15309,ABX86389,AAS60403
ABG14326,ABX85250,AAS62732
AAS63944,ABX84779,ABG16072
ABG15090,ABX85987,AAS63158
ABG14563,ABX86627,AAS61085
AAS62925,ABX88149,ABG14277
AAS64057,ABX86857,ABG15610
ABG15470,ABX85459,AAS60316
ABG14050,ABX86869,AAS62609
ABG12360,ABX86966,AAS63729
ABG12460,ABX87648,AAS63065
ABG15772,ABX85147,AAS63510
ABG13715,ABX88453,AAS62398
ABG14111,ABX87643,AAS62775
ABG14757,ABX86209,AAS60611
ABG15702,ABX86075,AAS63965
AAS61144,ABX85650,ABG12935
AAS63701,ABX85811,ABG12386
AAS60993,ABX86161,ABG14660
ABG13675,ABX86061,AAS62357
AAS63448,ABX86210,ABG15399
AAS62651,ABX86787,ABG14341
ABG14539,ABX87873,AAS61102
AAS62590,ABX86795,ABG14029
ABG12958,ABX86408,AAS61559
AAS62944,ABX88407,ABG14094
ABG15293,ABX88075,AAS60417
AAS61031,ABX86454,ABG14621
ABG14054,ABX85387,AAS62613
ABG14227,ABX87114,AAS62883
AAS62686,ABX88285,ABG14378
ABG13543,ABX85926,AAS62232
ABG12680,ABX88406,AAS61419
ABG12405,ABX85238,AAS63682
ABG14523,ABX84935,AAS61124
ABG14835,ABX87850,AAS60586
AAS63075,ABX86847,ABG15177
AAS60815,ABX87703,ABG12055
AAS58563,ABX88745,ABG16267
ABG12060,ABX85714,AAS60810
ABG14902,ABX87350,AAS60913
ABG16140,ABX84792,AAS58640
AAS61381,ABX85585,ABG14487
AAS61066,ABX88385,ABG14587
ABG12535,ABX86530,AAS61319
ABG12166,ABX86390,AAS63391
ABG12812,ABX87104,AAS61678
AAS63147,ABX85091,ABG15099
ABG14894,ABX87547,AAS60529
AAS62640,ABX85991,ABG14081
AAS60734,ABX88369,ABG15937
ABG15927,ABX87575,AAS60744
AAS63647,ABX87344,ABG12283
ABG15609,ABX87070,AAS64058
AAS61297,ABX85395,ABG12555
ABG15879,ABX86159,AAS60791
ABG15966,ABX84878,AAS60703
AAS63885,ABX86643,ABG15801
ABG12529,ABX84921,AAS62950
AAS62695,ABX85999,ABG14389
ABG13415,ABX86824,AAS62126
ABG14441,ABX88543,AAS61339
ABG13348,ABX87073,AAS62066
AAS62010,ABX86624,ABG13836
ABG15957,ABX87480,AAS60712
AAS60828,ABX86645,ABG12044
AAS62887,ABX85034,ABG14231
ABG13171,ABX87704,AAS61798
ABG16276,ABX88779,AAS58573
AAS63950,ABX86175,ABG15715
ABG13000,ABX88121,AAS61519
ABG14276,ABX87511,AAS62924
AAS61087,ABX86838,ABG14558
AAS63860,ABX88375,ABG16023
ABG14217,ABX87712,AAS62873
ABG13346,ABX87790,AAS62064
ABG12013,ABX87309,AAS60859
AAS63275,ABX88074,ABG15576
AAS62896,ABX86333,ABG14241
ABG14195,ABX87763,AAS62854
AAS62847,ABX85895,ABG14185
AAS60535,ABX87507,ABG14889
ABG15492,ABX87307,AAS60294
ABG15086,ABX88231,AAS63161
ABG16106,ABX88580,AAS64147
AAS62176,ABX84902,ABG13483
ABG12868,ABX85123,AAS61202
AAS64159,ABX86481,ABG16119
ABG12050,ABX86442,AAS60822
ABG15409,ABX86112,AAS60379
ABG14841,ABX86579,AAS60580
AAS62341,ABX88176,ABG13660
AAS63882,ABX86191,ABG16001
ABG12642,ABX87374,AAS61453
AAS61845,ABX85956,ABG13123
ABG15629,ABX87723,AAS64037
ABG14620,ABX88095,AAS61032
ABG14957,ABX88162,AAS64137
AAS62181,ABX88677,ABG13488
AAS60484,ABX85212,ABG15224
ABG14931,ABX87546,AAS60885
ABG14656,ABX87736,AAS60997
AAS63090,ABX86691,ABG15162
ABG15142,ABX88607,AAS63109
ABG13920,ABX87499,AAS62481
ABG12337,ABX85259,AAS63747
ABG14177,ABX84985,AAS62839
AAS63351,ABX85517,ABG12125
AAS62486,ABX85914,ABG13925
AAS62677,ABX88126,ABG14370
AAS61502,ABX87246,ABG12592
AAS61752,ABX87816,ABG13220
AAS63636,ABX88465,ABG12272
ABG12370,ABX88374,AAS63718
AAS63138,ABX88618,ABG15108
AAS61524,ABX86288,ABG12995
AAS61371,ABX88470,ABG14473
ABG14261,ABX86295,AAS62912
ABG12935,ABX85650,AAS61144
ABG14133,ABX88412,AAS62797
AAS60420,ABX85550,ABG15290
ABG13490,ABX87633,AAS62183
AAS62038,ABX87358,ABG13802
ABG15802,ABX85483,AAS63886
ABG15451,ABX88228,AAS60335
AAS62331,ABX85725,ABG13651
AAS61881,ABX88015,ABG13253
ABG12001,ABX88131,AAS63245
ABG13310,ABX87798,AAS61934
AAS60840,ABX87832,ABG12032
ABG16004,ABX87934,AAS63879
ABG13963,ABX85279,AAS62523
AAS61849,ABX86996,ABG13116
AAS63185,ABX87893,ABG15060
ABG12964,ABX88197,AAS61553
AAS62717,ABX87974,ABG14414
ABG16096,ABX85217,AAS63567
ABG16075,ABX87912,AAS63549
ABG12038,ABX86878,AAS60834
ABG15543,ABX85451,AAS63813
AAS63006,ABX86412,ABG12468
AAS63332,ABX85048,ABG12106
AAS60633,ABX86300,ABG14780
ABG12463,ABX88629,AAS63011
AAS60989,ABX85818,ABG14667
AAS60370,ABX88613,ABG15416
ABG14601,ABX88544,AAS61052
AAS60675,ABX85327,ABG15994
AAS63759,ABX85992,ABG12323
AAS62483,ABX86527,ABG13922
ABG12701,ABX86609,AAS61575
AAS61636,ABX87571,ABG12768
ABG13084,ABX85143,AAS61723
AAS63111,ABX88155,ABG15140
ABG14268,ABX86287,AAS62917
ABG13650,ABX86162,AAS62330
ABG14619,ABX85746,AAS61033
AAS63680,ABX85997,ABG12407
AAS61479,ABX86194,ABG12616
AAS60490,ABX86155,ABG15218
AAS60997,ABX87736,ABG14656
ABG12787,ABX86816,AAS61655
AAS62192,ABX88505,ABG13500
ABG15390,ABX87031,AAS63456
AAS62236,ABX85161,ABG13547
ABG12367,ABX86764,AAS63723
AAS58671,ABX84762,ABG16172
ABG16085,ABX87931,AAS63557
ABG14211,ABX85487,AAS62867
ABG12771,ABX85354,AAS61639
ABG15975,ABX87827,AAS60694
AAS61134,ABX87838,ABG12693
ABG16281,ABX88786,AAS58577
AAS62871,ABX88485,ABG14215
AAS63355,ABX87117,ABG12129
AAS63928,ABX85637,ABG15845
ABG12040,ABX88263,AAS60832
ABG14669,ABX85165,AAS60986
AAS61268,ABX85046,ABG13017
ABG13924,ABX86706,AAS62485
AAS62007,ABX85743,ABG13839
AAS58602,ABX88781,ABG16303
AAS63474,ABX85267,ABG15737
AAS61796,ABX88066,ABG13173
AAS63159,ABX85773,ABG15089
AAS62190,ABX86551,ABG13498
ABG14781,ABX85906,AAS60634
ABG15402,ABX88073,AAS63445
ABG14844,ABX85369,AAS60577
AAS58526,ABX88787,ABG16312
AAS63567,ABX85217,ABG16096
ABG16125,ABX84961,AAS64165
ABG14631,ABX87304,AAS61021
AAS62625,ABX85938,ABG14065
AAS60391,ABX88189,ABG12229
ABG14846,ABX88576,AAS60575
ABG12022,ABX85944,AAS60850
AAS63735,ABX87443,ABG12349
AAS60728,ABX85845,ABG15942
ABG12366,ABX85703,AAS63724
ABG14492,ABX85842,AAS61386
ABG12718,ABX88636,AAS61591
AAS63239,ABX86948,ABG12006
AAS62356,ABX85311,ABG13674
AAS64166,ABX87472,ABG16126
ABG13098,ABX85050,AAS61865
ABG16115,ABX87910,AAS64155
ABG14754,ABX88480,AAS60608
ABG15894,ABX85303,AAS60774
AAS61555,ABX88551,ABG12962
ABG14790,ABX88337,AAS60643
AAS60517,ABX87188,ABG15192
ABG13191,ABX86241,AAS61780
AAS61145,ABX86131,ABG12934
AAS61644,ABX88243,ABG12776
AAS62889,ABX85757,ABG14235
ABG15964,ABX85639,AAS60705
ABG12226,ABX85137,AAS60388
AAS62478,ABX87259,ABG13917
AAS63422,ABX87397,ABG12198
AAS62739,ABX87951,ABG14319
AAS60439,ABX88428,ABG15272
ABG12773,ABX85958,AAS61641
AAS61912,ABX85512,ABG13289
AAS62123,ABX85726,ABG13412
AAS61378,ABX87377,ABG14482
AAS61667,ABX85576,ABG12799
ABG13396,ABX86814,AAS62108
AAS63606,ABX85977,ABG12239
ABG14019,ABX85972,AAS62579
AAS62028,ABX85269,ABG13815
ABG16131,ABX86050,AAS64171
ABG14124,ABX86181,AAS62788
ABG12338,ABX87731,AAS63746
ABG13853,ABX85934,AAS61994
AAS63506,ABX84997,ABG15768
AAS62723,ABX88699,ABG14334
AAS63000,ABX88013,ABG12477
AAS64170,ABX87448,ABG16130
AAS63982,ABX86202,ABG15685
AAS63043,ABX85723,ABG12441
AAS63347,ABX88611,ABG12121
AAS62093,ABX87001,ABG13378
AAS62425,ABX86058,ABG13742
ABG15213,ABX86822,AAS60495
AAS61886,ABX88274,ABG13258
ABG12815,ABX86365,AAS61682
AAS61619,ABX85880,ABG12752
AAS63785,ABX85828,ABG15516
AAS61660,ABX87236,ABG12792
ABG14883,ABX85526,AAS60541
ABG16255,ABX88776,AAS58549
AAS63214,ABX88673,ABG15024
ABG12588,ABX88254,AAS61506
AAS63904,ABX85795,ABG15821
ABG12878,ABX87735,AAS61194
AAS63809,ABX87404,ABG15539
AAS62233,ABX85721,ABG13544
AAS63193,ABX87668,ABG15049
ABG15221,ABX86955,AAS60487
AAS63968,ABX88248,ABG15699
ABG13199,ABX88452,AAS61774
ABG15749,ABX86104,AAS63487
ABG12580,ABX86310,AAS61514
AAS62860,ABX88511,ABG14201
AAS63050,ABX87081,ABG12447
AAS61257,ABX88123,ABG13028
AAS61006,ABX88178,ABG14647
AAS62604,ABX86302,ABG14045
ABG15104,ABX87340,AAS63142
AAS61669,ABX86031,ABG12802
AAS61492,ABX85113,ABG12601
ABG13617,ABX85382,AAS62298
AAS61535,ABX86684,ABG12984
AAS61727,ABX87029,ABG13089
ABG14767,ABX88079,AAS60621
ABG12811,ABX87462,AAS61677
ABG14327,ABX88304,AAS62731
ABG14816,ABX87274,AAS60668
ABG15650,ABX85362,AAS64014
AAS61887,ABX87744,ABG13259
AAS60301,ABX87273,ABG15485
AAS62672,ABX85340,ABG14365
ABG12340,ABX86381,AAS63744
AAS62141,ABX86266,ABG13429
AAS60503,ABX87589,ABG15205
ABG15902,ABX86732,AAS60764
AAS60372,ABX87948,ABG15414
AAS62066,ABX87073,ABG13348
ABG12847,ABX86255,AAS61709
AAS60371,ABX87781,ABG15415
AAS61801,ABX88349,ABG13168
AAS62173,ABX86405,ABG13480
ABG15512,ABX86262,AAS63781
AAS60314,ABX88455,ABG15472
AAS63040,ABX88006,ABG12438
ABG12290,ABX85350,AAS63653
AAS60664,ABX88214,ABG14811
ABG16128,ABX88397,AAS64168
ABG16146,ABX84807,AAS58646
ABG15680,ABX87859,AAS63985
AAS61645,ABX88686,ABG12777
ABG14178,ABX84969,AAS62840
ABG15198,ABX87846,AAS60511
ABG15280,ABX87228,AAS60431
ABG13897,ABX86423,AAS62466
ABG13422,ABX86936,AAS62133
AAS61575,ABX86609,ABG12701
AAS63813,ABX85451,ABG15543
ABG12962,ABX88551,AAS61555
ABG14602,ABX85447,AAS61051
AAS62279,ABX87897,ABG13596
ABG13742,ABX86058,AAS62425
AAS60500,ABX88442,ABG15208
ABG14622,ABX85068,AAS61030
ABG14712,ABX87658,AAS60940
AAS58564,ABX88760,ABG16268
AAS61523,ABX85984,ABG12996
AAS63992,ABX87080,ABG15673
ABG12552,ABX85942,AAS61300
AAS63247,ABX88597,ABG11999
AAS62163,ABX87885,ABG13470
AAS60283,ABX85203,ABG11971
ABG13305,ABX87096,AAS61929
ABG15700,ABX86992,AAS63967
ABG14750,ABX87616,AAS60605
AAS60824,ABX87324,ABG12048
ABG14226,ABX88616,AAS62882
ABG16044,ABX87287,AAS63838
ABG13497,ABX86129,AAS62189
ABG15863,ABX87840,AAS60808
ABG15952,ABX87991,AAS60718
AAS60660,ABX88566,ABG14808
AAS63699,ABX85135,ABG12389
ABG14448,ABX88334,AAS61346
ABG13538,ABX86532,AAS62227
AAS61185,ABX88462,ABG12890
ABG13696,ABX88661,AAS62379
