AAS61939,ABX87162,ABG13314
ABG14941,ABX85440,AAS60876
AAS62182,ABX88150,ABG13489
AAS58684,ABX84787,ABG16176
ABG13012,ABX88509,AAS61273
ABG14741,ABX86232,AAS60596
ABG13302,ABX86876,AAS61926
AAS62274,ABX87112,ABG13590
ABG15466,ABX85923,AAS60320
AAS62831,ABX87700,ABG14169
ABG12094,ABX88490,AAS63321
ABG16105,ABX85633,AAS64146
ABG15012,ABX87755,AAS63222
AAS58532,ABX88744,ABG16315
ABG12765,ABX85537,AAS61633
ABG12761,ABX86327,AAS61628
AAS61518,ABX87650,ABG13001
AAS62489,ABX84883,ABG13928
ABG15766,ABX88192,AAS63504
ABG15279,ABX86896,AAS60432
AAS63056,ABX85808,ABG12452
ABG12178,ABX88516,AAS63404
ABG13208,ABX86574,AAS61765
ABG13223,ABX85865,AAS61748
ABG15428,ABX87879,AAS60356
ABG15744,ABX85605,AAS63480
ABG14528,ABX86505,AAS61114
ABG15519,ABX86133,AAS63788
AAS63800,ABX87496,ABG15529
ABG16055,ABX88330,AAS63828
AAS62856,ABX85436,ABG14197
ABG13971,ABX87027,AAS62534
AAS63138,ABX88618,ABG15108
AAS60563,ABX86657,ABG14860
AAS62168,ABX87652,ABG13475
AAS61989,ABX85035,ABG13858
ABG13467,ABX88520,AAS62160
ABG16300,ABX88780,AAS58597
ABG15481,ABX85216,AAS60305
ABG13301,ABX88401,AAS61925
AAS62189,ABX86129,ABG13497
AAS61741,ABX87894,ABG13234
AAS61643,ABX84952,ABG12775
AAS60855,ABX85785,ABG12017
AAS64046,ABX87664,ABG15621
ABG15414,ABX87948,AAS60372
AAS64161,ABX88021,ABG16121
AAS62320,ABX87883,ABG13639
ABG12041,ABX85561,AAS60831
AAS62452,ABX88560,ABG13883
AAS61083,ABX86694,ABG14566
ABG14480,ABX88491,AAS61376
AAS60908,ABX85130,ABG14907
ABG14601,ABX88544,AAS61052
ABG13409,ABX86231,AAS62120
ABG12475,ABX88216,AAS63002
AAS58701,ABX84816,ABG16190
ABG14419,ABX87132,AAS62722
ABG16104,ABX86526,AAS64144
AAS61556,ABX86564,ABG12961
ABG14247,ABX86634,AAS62899
ABG13488,ABX88677,AAS62181
AAS62214,ABX88002,ABG13525
ABG12778,ABX86877,AAS61646
ABG16226,ABX84780,AAS58728
ABG15958,ABX86950,AAS60711
ABG15023,ABX87089,AAS63215
ABG15932,ABX87815,AAS60739
ABG15222,ABX87738,AAS60486
AAS61355,ABX87389,ABG14457
ABG15521,ABX85322,AAS63795
ABG14636,ABX88556,AAS61016
AAS63879,ABX87934,ABG16004
ABG15221,ABX86955,AAS60487
AAS63228,ABX86832,ABG15006
AAS58731,ABX84744,ABG16224
AAS63276,ABX88429,ABG15577
ABG13109,ABX85673,AAS61856
AAS63885,ABX86643,ABG15801
ABG13699,ABX85243,AAS62382
ABG13035,ABX85200,AAS61249
AAS62675,ABX87039,ABG14368
AAS63373,ABX86534,ABG12149
ABG12714,ABX86596,AAS61587
ABG12439,ABX86961,AAS63041
AAS61627,ABX88239,ABG12760
AAS61046,ABX85764,ABG14607
ABG13284,ABX86985,AAS61907
AAS60872,ABX88172,ABG14945
AAS61877,ABX85360,ABG13249
AAS61086,ABX85569,ABG14561
AAS63751,ABX88450,ABG12331
AAS63638,ABX87413,ABG12274
ABG14024,ABX87695,AAS62585
ABG14196,ABX88175,AAS62855
ABG12653,ABX86766,AAS61442
AAS60370,ABX88613,ABG15416
AAS61773,ABX84949,ABG13200
AAS61480,ABX86584,ABG12615
ABG12095,ABX85855,AAS63322
ABG15027,ABX87685,AAS63211
ABG12081,ABX87429,AAS63308
ABG12228,ABX88627,AAS60390
AAS60301,ABX87273,ABG15485
AAS63259,ABX85578,ABG11984
ABG13618,ABX84864,AAS62299
ABG14605,ABX87582,AAS61048
AAS60580,ABX86579,ABG14841
ABG12615,ABX86584,AAS61480
ABG16193,ABX84755,AAS58704
AAS61823,ABX87161,ABG13146
ABG14492,ABX85842,AAS61386
AAS61707,ABX85309,ABG12844
ABG13782,ABX87133,AAS61958
ABG12955,ABX86782,AAS61562
ABG14001,ABX88672,AAS62559
AAS61344,ABX86233,ABG14446
ABG14523,ABX84935,AAS61124
AAS61304,ABX87149,ABG12548
ABG15764,ABX87046,AAS63502
ABG13769,ABX86084,AAS61971
AAS61172,ABX85337,ABG12904
ABG12550,ABX85510,AAS61302
ABG15963,ABX87047,AAS60706
AAS62245,ABX85245,ABG13556
ABG12113,ABX87238,AAS63339
AAS63433,ABX85126,ABG12209
ABG14365,ABX85340,AAS62672
ABG12107,ABX86332,AAS63333
AAS58570,ABX88735,ABG16323
AAS61075,ABX85598,ABG14575
AAS62829,ABX84939,ABG14167
ABG13932,ABX85407,AAS62494
ABG14894,ABX87547,AAS60529
ABG15952,ABX87991,AAS60718
AAS61273,ABX88509,ABG13012
ABG16120,ABX87626,AAS64160
AAS62059,ABX88662,ABG13341
AAS60690,ABX87006,ABG15979
AAS61361,ABX87091,ABG14465
AAS63869,ABX85893,ABG16014
ABG14581,ABX86328,AAS61069
ABG12292,ABX88591,AAS63655
AAS60423,ABX86413,ABG15288
ABG15178,ABX86250,AAS63074
ABG12401,ABX87195,AAS63686
ABG14356,ABX87451,AAS62665
AAS64011,ABX85884,ABG15653
AAS63907,ABX87560,ABG15824
AAS62158,ABX86265,ABG13465
AAS63498,ABX88420,ABG15760
AAS58659,ABX84802,ABG16160
ABG13582,ABX85115,AAS62266
ABG16258,ABX88773,AAS58553
ABG14008,ABX87484,AAS62566
ABG13412,ABX85726,AAS62123
AAS62004,ABX87306,ABG13843
AAS63062,ABX85519,ABG12457
AAS61858,ABX86900,ABG13107
AAS63693,ABX87565,ABG12394
ABG13366,ABX88340,AAS62083
ABG15528,ABX86055,AAS63799
AAS63997,ABX86158,ABG15668
ABG14215,ABX88485,AAS62871
ABG14193,ABX85596,AAS62852
AAS63723,ABX86764,ABG12367
AAS60730,ABX85184,ABG15940
ABG16092,ABX86998,AAS63564
ABG15482,ABX87940,AAS60304
ABG14706,ABX86812,AAS60946,ABG14707
ABG13476,ABX87209,AAS62169
AAS63316,ABX87927,ABG12089
ABG13478,ABX87083,AAS62171
ABG16036,ABX85713,AAS63845
AAS58735,ABX84857,ABG16221
AAS62594,ABX85571,ABG14033
ABG12509,ABX87038,AAS62969
AAS62312,ABX85317,ABG13630
ABG14582,ABX87523,AAS61068
ABG15665,ABX87456,AAS64000
AAS61746,ABX86809,ABG13225
ABG15304,ABX88167,AAS60406
AAS63922,ABX85378,ABG15839
ABG15246,ABX88372,AAS60463
ABG14462,ABX86504,AAS61358
ABG14160,ABX87197,AAS62822
AAS64103,ABX84978,ABG14999
AAS60296,ABX88377,ABG15490
ABG12414,ABX84992,AAS63016
AAS62679,ABX87833,ABG14372
ABG13587,ABX86797,AAS62271
ABG16266,ABX88717,AAS58562
AAS60536,ABX86080,ABG14888
AAS61381,ABX85585,ABG14487
ABG15578,ABX85027,AAS63277
AAS60435,ABX86655,ABG15276
ABG14828,ABX87356,AAS60591
AAS64041,ABX88144,ABG15626
ABG15636,ABX85807,AAS64030
ABG16238,ABX84843,AAS58763
ABG15858,ABX85948,AAS63942
ABG14759,ABX87683,AAS60613
AAS62081,ABX87266,ABG13363
ABG13126,ABX85857,AAS61841
AAS60803,ABX87216,ABG15868
AAS60403,ABX86389,ABG15309
ABG12932,ABX85260,AAS61147
AAS63883,ABX86259,ABG16000
ABG14778,ABX86670,AAS60631
AAS63043,ABX85723,ABG12441
AAS61061,ABX86829,ABG14592
AAS61097,ABX88264,ABG14544
ABG12519,ABX88016,AAS62959
AAS63882,ABX86191,ABG16001
AAS64038,ABX88240,ABG15628
ABG15705,ABX85629,AAS63961
AAS61633,ABX85537,ABG12765
ABG14772,ABX86382,AAS60626
AAS62396,ABX87555,ABG13713
AAS61376,ABX88491,ABG14480
AAS58565,ABX88778,ABG16269
ABG12773,ABX85958,AAS61641
ABG13293,ABX85019,AAS61917
AAS63042,ABX87367,ABG12440
ABG16134,ABX85968,AAS64174
ABG15874,ABX85002,AAS60797
ABG14073,ABX87788,AAS62633
AAS64055,ABX86394,ABG15612
ABG14997,ABX88602,AAS64105
ABG15028,ABX85715,AAS63210
AAS60664,ABX88214,ABG14811
ABG12454,ABX86682,AAS63059
ABG15449,ABX87654,AAS60337
ABG14780,ABX86300,AAS60633
AAS61848,ABX85460,ABG13117
AAS61453,ABX87374,ABG12642
AAS63608,ABX85408,ABG12241
AAS63385,ABX86705,ABG12160
ABG12866,ABX88600,AAS61204
AAS64020,ABX87942,ABG15646
ABG13960,ABX85940,AAS62520
AAS61572,ABX85368,ABG12698
AAS60829,ABX85127,ABG12043
AAS58649,ABX84777,ABG16150
AAS60704,ABX86440,ABG15965
AAS61395,ABX86599,ABG14501
ABG14436,ABX88276,AAS61334
ABG13691,ABX86941,AAS62373
ABG15073,ABX87380,AAS63174
AAS60698,ABX86100,ABG15971
ABG15291,ABX87800,AAS60419
ABG12304,ABX87637,AAS63667
AAS58569,ABX88770,ABG16273
ABG13884,ABX84984,AAS62453
ABG12592,ABX87246,AAS61502
AAS62650,ABX86761,ABG14340
AAS62953,ABX86905,ABG12526
AAS62770,ABX85169,ABG14105
ABG12319,ABX86980,AAS63763
ABG15042,ABX88083,AAS63199
ABG13103,ABX85882,AAS61862
AAS61874,ABX86006,ABG13246
ABG12798,ABX85170,AAS61666
ABG12212,ABX86119,AAS63436
AAS62788,ABX86181,ABG14124
ABG13545,ABX88113,AAS62234
ABG15096,ABX87148,AAS63150
ABG12359,ABX87432,AAS63730
AAS60471,ABX86017,ABG15238
AAS62799,ABX87293,ABG14135
AAS62181,ABX88677,ABG13488
AAS62969,ABX87038,ABG12509
ABG16126,ABX87472,AAS64166
AAS60407,ABX84880,ABG15303
AAS60453,ABX88275,ABG15257
ABG12670,ABX87111,AAS61428
ABG13896,ABX87914,AAS62465
AAS63644,ABX85717,ABG12280
ABG14038,ABX88272,AAS62597
AAS64115,ABX88308,ABG14980
AAS62715,ABX84951,ABG14412
ABG12276,ABX87436,AAS63640
AAS61524,ABX86288,ABG12995
ABG13580,ABX87841,AAS62264
AAS61106,ABX86446,ABG14535
ABG15915,ABX85270,AAS60753
AAS61208,ABX86456,ABG12862
AAS63643,ABX85300,ABG12279
ABG16268,ABX88760,AAS58564
AAS63845,ABX85713,ABG16036
AAS60759,ABX86779,ABG15908
AAS62956,ABX85182,ABG12523
AAS62733,ABX85791,ABG14325
AAS61655,ABX86816,ABG12787
ABG12235,ABX85033,AAS60398
ABG14649,ABX86338,AAS61004
AAS60579,ABX88548,ABG14842
AAS62357,ABX86061,ABG13675
AAS63341,ABX85864,ABG12115
ABG12992,ABX87444,AAS61527
AAS60758,ABX87486,ABG15910
AAS62739,ABX87951,ABG14319
AAS63071,ABX85071,ABG15181
ABG12194,ABX87461,AAS63418
AAS62340,ABX85584,ABG13659
AAS61114,ABX86505,ABG14528
ABG12204,ABX87314,AAS63428
ABG15854,ABX88168,AAS63938
AAS61503,ABX87672,ABG12591
ABG15834,ABX87181,AAS63917
AAS62471,ABX88057,ABG13906
AAS62364,ABX87086,ABG13682
ABG14542,ABX87579,AAS61099
AAS58564,ABX88760,ABG16268
ABG14718,ABX85800,AAS60934
AAS60509,ABX86258,ABG15200
AAS62301,ABX86568,ABG13619
AAS63061,ABX85589,ABG12456
AAS62797,ABX88412,ABG14133
AAS61797,ABX88262,ABG13172
ABG12565,ABX88017,AAS61287
AAS61789,ABX87739,ABG13182
AAS63405,ABX87944,ABG12179
ABG14112,ABX88253,AAS62776
ABG15820,ABX86400,AAS63903
ABG15789,ABX86940,AAS63526
AAS60292,ABX85312,ABG11983
AAS60666,ABX85181,ABG14813
AAS63119,ABX88594,ABG15132
AAS63902,ABX86637,ABG15819
AAS63249,ABX87544,ABG11997
ABG15685,ABX86202,AAS63982
AAS61101,ABX88435,ABG14540
AAS63222,ABX87755,ABG15012
AAS62217,ABX87727,ABG13529
AAS61278,ABX86818,ABG12574
ABG13416,ABX88346,AAS62127
ABG15647,ABX85489,AAS64019
ABG16163,ABX84798,AAS58662
AAS62852,ABX85596,ABG14193
ABG13428,ABX86830,AAS62139
AAS61629,ABX86620,ABG12762
AAS63514,ABX87013,ABG15776
ABG13788,ABX88411,AAS61952
AAS62302,ABX85982,ABG13620
AAS62883,ABX87114,ABG14227
AAS63785,ABX85828,ABG15516
ABG14214,ABX88063,AAS62870
ABG14092,ABX87346,AAS62946
AAS62617,ABX88190,ABG14058
AAS63732,ABX86076,ABG12357
ABG14352,ABX88625,AAS62661
ABG12286,ABX85398,AAS63648
AAS64138,ABX85935,ABG15001
AAS63979,ABX85660,ABG15688
ABG15610,ABX86857,AAS64057
ABG12965,ABX87385,AAS61552
AAS62497,ABX88226,ABG13934
ABG14210,ABX85003,AAS62866
ABG12513,ABX85538,AAS62965
AAS61353,ABX86550,ABG14455
AAS61499,ABX85878,ABG12595
ABG12046,ABX88633,AAS60826
AAS63099,ABX84988,ABG15153
ABG12389,ABX85135,AAS63699
AAS63762,ABX86286,ABG12320
ABG16158,ABX84853,AAS58657
AAS61040,ABX86065,ABG14613
ABG14945,ABX88172,AAS60872
ABG15412,ABX85026,AAS60374
ABG13215,ABX88552,AAS61757
AAS64006,ABX85827,ABG15658
ABG14009,ABX85294,AAS62567
ABG12198,ABX87397,AAS63422
AAS63032,ABX85789,ABG12430
AAS61639,ABX85354,ABG12771
AAS61623,ABX88459,ABG12756
AAS62613,ABX85387,ABG14054
AAS61307,ABX85246,ABG12545
AAS62553,ABX86235,ABG13995
AAS60839,ABX88076,ABG12033
AAS61148,ABX85441,ABG12931
ABG14616,ABX87294,AAS61036
ABG13224,ABX86204,AAS61747
AAS63343,ABX85529,ABG12116
AAS61693,ABX85790,ABG12830
AAS64107,ABX85325,ABG14993
AAS62195,ABX85422,ABG13504
AAS61681,ABX86676,ABG12814
ABG12695,ABX85314,AAS61569
ABG14062,ABX85036,AAS62622
ABG16060,ABX88427,AAS63534
ABG15509,ABX87754,AAS63778
ABG14794,ABX85635,AAS60647
AAS60774,ABX85303,ABG15894
AAS61879,ABX87949,ABG13251
ABG13354,ABX85488,AAS62072
AAS63737,ABX88161,ABG12347
AAS62225,ABX84879,ABG13536
ABG12896,ABX87614,AAS61178
AAS60981,ABX86335,ABG14673
AAS63250,ABX87145,ABG11996
ABG12149,ABX86534,AAS63373
AAS62251,ABX86784,ABG13562
ABG14832,ABX87732,AAS60589
ABG13234,ABX87894,AAS61741
AAS62335,ABX86043,ABG13654
ABG12126,ABX85566,AAS63352
AAS62926,ABX86881,ABG14278
ABG13026,ABX86570,AAS61259
ABG15255,ABX85162,AAS60455
ABG12150,ABX85223,AAS63374
AAS63734,ABX85228,ABG12353
ABG14445,ABX86983,AAS61343
AAS60752,ABX87902,ABG15916
AAS62228,ABX87470,ABG13539
AAS63679,ABX86929,ABG12408
ABG13968,ABX87396,AAS62531
AAS61555,ABX88551,ABG12962
ABG13821,ABX85685,AAS62021
ABG13744,ABX87054,AAS62427
ABG12575,ABX87473,AAS61277
ABG13705,ABX86482,AAS62389
AAS60643,ABX88337,ABG14790
ABG12877,ABX86478,AAS61195
AAS62003,ABX85916,ABG13844
ABG12097,ABX86293,AAS63325
AAS63916,ABX84867,ABG15833
ABG13251,ABX87949,AAS61879
AAS60869,ABX85557,ABG14948
AAS63474,ABX85267,ABG15737
AAS63850,ABX87121,ABG16032
AAS63318,ABX88402,ABG12091
ABG12074,ABX86716,AAS63301
AAS62676,ABX87624,ABG14369
ABG12252,ABX86750,AAS63617
AAS61145,ABX86131,ABG12934
AAS60461,ABX86880,ABG15249
AAS58745,ABX84842,ABG16216
ABG13257,ABX85240,AAS61885
AAS63931,ABX87445,ABG15848
ABG12988,ABX86135,AAS61531
ABG13823,ABX86571,AAS62019
ABG14805,ABX85928,AAS60658
ABG16001,ABX86191,AAS63882
AAS63202,ABX87192,ABG15036
AAS63077,ABX85600,ABG15175
AAS60429,ABX86739,ABG15282
ABG12593,ABX86450,AAS61501
AAS63707,ABX87708,ABG12380
AAS61297,ABX85395,ABG12555
ABG14418,ABX86486,AAS62721
AAS60824,ABX87324,ABG12048
AAS62674,ABX84882,ABG14367
ABG12523,ABX85182,AAS62956
ABG14173,ABX88004,AAS62836
ABG12928,ABX86960,AAS61151
ABG12571,ABX85627,AAS61281
ABG14127,ABX85986,AAS62791
AAS61043,ABX87269,ABG14610
ABG13759,ABX86032,AAS61978
ABG12318,ABX85365,AAS63764
ABG13645,ABX87876,AAS62325
ABG15823,ABX88433,AAS63906
AAS60936,ABX86096,ABG14716
ABG13191,ABX86241,AAS61780
ABG12474,ABX88088,AAS63003
AAS62394,ABX86704,ABG13711
AAS62128,ABX85178,ABG13417
AAS62216,ABX85826,ABG13527
ABG15009,ABX88271,AAS63225
AAS60668,ABX87274,ABG14816
ABG14974,ABX86884,AAS64121
AAS60978,ABX87041,ABG14675
ABG14056,ABX87776,AAS62615
ABG13686,ABX85089,AAS62368
AAS63861,ABX88573,ABG16022
ABG15624,ABX85149,AAS64043
AAS62324,ABX85794,ABG13644
AAS62334,ABX86466,ABG13653
AAS62659,ABX85862,ABG14350
ABG15504,ABX85128,AAS63773
AAS63037,ABX85148,ABG12435
ABG15299,ABX86494,AAS60411
ABG12227,ABX86777,AAS60389
AAS63011,ABX88629,ABG12463
ABG13578,ABX88245,AAS62262
ABG15986,ABX85266,AAS60683
AAS62618,ABX87663,ABG14059
ABG15876,ABX88383,AAS60795
ABG12077,ABX87424,AAS63304
AAS60900,ABX88501,ABG14918
AAS64125,ABX86802,ABG14971
ABG14885,ABX87428,AAS60539
AAS60499,ABX85535,ABG15209
ABG14728,ABX86403,AAS60923
AAS63515,ABX85740,ABG15777
AAS58736,ABX84796,ABG16220
AAS63389,ABX86872,ABG12164
ABG16212,ABX84775,AAS58525,ABG16311
AAS63421,ABX87799,ABG12197
AAS61881,ABX88015,ABG13253
ABG15983,ABX87956,AAS60686
AAS61533,ABX85389,ABG12986
ABG14463,ABX85847,AAS61359
AAS60672,ABX88301,ABG14735
AAS63273,ABX87252,ABG15574
ABG12891,ABX87505,AAS61184
ABG15748,ABX87517,AAS63486
AAS60892,ABX85821,ABG14925
ABG15489,ABX87932,AAS60297
ABG13732,ABX87000,AAS62415
ABG13776,ABX86071,AAS61964
ABG15845,ABX85637,AAS63928
ABG12039,ABX86913,AAS60833
ABG16213,ABX84840,AAS58749
ABG14144,ABX87007,AAS62808
AAS63759,ABX85992,ABG12323
ABG12032,ABX87832,AAS60840
ABG13481,ABX86047,AAS62174
AAS63860,ABX88375,ABG16023
AAS62090,ABX87441,ABG13376
AAS61445,ABX88395,ABG12650
ABG15209,ABX85535,AAS60499
AAS61295,ABX85678,ABG12557
ABG13217,ABX87471,AAS61755
ABG14343,ABX86642,AAS62653
ABG15238,ABX86017,AAS60471
ABG12954,ABX88651,AAS61563
ABG13190,ABX87226,AAS61781
ABG15784,ABX86841,AAS63522
ABG14715,ABX84989,AAS60937
ABG13676,ABX88396,AAS62358
AAS63272,ABX86537,ABG15573
AAS58765,ABX84791,ABG16240
ABG16220,ABX84796,AAS58736
ABG13772,ABX87954,AAS61968
ABG12821,ABX86477,AAS61686
ABG15928,ABX85951,AAS60743
ABG14431,ABX86326,AAS61330
AAS60420,ABX85550,ABG15290
ABG13887,ABX87177,AAS62456
ABG16119,ABX86481,AAS64159
ABG15942,ABX85845,AAS60728
ABG15077,ABX85044,AAS63169
AAS63144,ABX87090,ABG15102
AAS61562,ABX86782,ABG12955
ABG12017,ABX85785,AAS60855
AAS63112,ABX87515,ABG15139
AAS62703,ABX85417,ABG14398
AAS62461,ABX86279,ABG13892
AAS61780,ABX86241,ABG13191
ABG15916,ABX87902,AAS60752
ABG13320,ABX85496,AAS61942
AAS61663,ABX85897,ABG12795
AAS63763,ABX86980,ABG12319
ABG15124,ABX86546,AAS63126
AAS63396,ABX87072,ABG12171
ABG13752,ABX84947,AAS62436
ABG16061,ABX87866,AAS63535
AAS63831,ABX86746,ABG16051
AAS61186,ABX86164,ABG12889
AAS62833,ABX87204,ABG14171
AAS63957,ABX87862,ABG15709
ABG13913,ABX85797,AAS62475
ABG14719,ABX86640,AAS60933
AAS60995,ABX86914,ABG14658
ABG14040,ABX86639,AAS62599
AAS58654,ABX84772,ABG16155
ABG13973,ABX85454,AAS62536
ABG15205,ABX87589,AAS60503
ABG14845,ABX87913,AAS60576
AAS63844,ABX86428,ABG16037
AAS62011,ABX88353,ABG13835
ABG14748,ABX85296,AAS60603
ABG12035,ABX85765,AAS60837
ABG14915,ABX86767,AAS60903
ABG13102,ABX85527,AAS61863
ABG14630,ABX88493,AAS61022
AAS63877,ABX87861,ABG16006
AAS63335,ABX86744,ABG12109
AAS63619,ABX88237,ABG12253
AAS63436,ABX86119,ABG12212
ABG16123,ABX85271,AAS64163
AAS63139,ABX87154,ABG15107
AAS60828,ABX86645,ABG12044
ABG12048,ABX87324,AAS60824
AAS60742,ABX87604,ABG15929
AAS58557,ABX88714,ABG16261
ABG16292,ABX88734,AAS58586
ABG14003,ABX87548,AAS62561
ABG13142,ABX87270,AAS61827
AAS61277,ABX87473,ABG12575
ABG12426,ABX87490,AAS63028
ABG15927,ABX87575,AAS60744
ABG15214,ABX87820,AAS60494
ABG13607,ABX87636,AAS62289
AAS61392,ABX88183,ABG14499
AAS60331,ABX87851,ABG15455
ABG15990,ABX87012,AAS60679
AAS61961,ABX85352,ABG13779
AAS63621,ABX85744,ABG12729
ABG12683,ABX88104,AAS61416
AAS63423,ABX87003,ABG12199
AAS63531,ABX85687,ABG15793
ABG12576,ABX87584,AAS61276
ABG15108,ABX88618,AAS63138
AAS61714,ABX87311,ABG13076
AAS63713,ABX86907,ABG12375
ABG13558,ABX88200,AAS62247
AAS64171,ABX86050,ABG16131
ABG13920,ABX87499,AAS62481
ABG13344,ABX88153,AAS62062
ABG12044,ABX86645,AAS60828
AAS61921,ABX86340,ABG13297
AAS60929,ABX85438,ABG14722
ABG14827,ABX86804,AAS60592
AAS62405,ABX87218,ABG13721
AAS58528,ABX88777,ABG16313
ABG14338,ABX86211,AAS62648
AAS62460,ABX85810,ABG13891
ABG12005,ABX87485,AAS63240
ABG13713,ABX87555,AAS62396
AAS61785,ABX85405,ABG13186
AAS61993,ABX86496,ABG13854
ABG12720,ABX87316,AAS61593
ABG13401,ABX86991,AAS62113
ABG15567,ABX85710,AAS63265
ABG15227,ABX84886,AAS60481
AAS61137,ABX86042,ABG12946
ABG14323,ABX85962,AAS62735
AAS62826,ABX88270,ABG14164
AAS62706,ABX86773,ABG14402
ABG14082,ABX86337,AAS62641
AAS61509,ABX85903,ABG12585
ABG12889,ABX86164,AAS61186
ABG15667,ABX87255,AAS63998
AAS61364,ABX88107,ABG14467
AAS61622,ABX86554,ABG12755
AAS63807,ABX86086,ABG15537
AAS60569,ABX87187,ABG14853
AAS62909,ABX88085,ABG14258
ABG13834,ABX87965,AAS62012
AAS61004,ABX86338,ABG14649
ABG14893,ABX85323,AAS60530
AAS58669,ABX84827,ABG16170
AAS60459,ABX86245,ABG15251
AAS63182,ABX85619,ABG15065
ABG13273,ABX85380,AAS61900
ABG13081,ABX86073,AAS61720
ABG16013,ABX85875,AAS63870
ABG14633,ABX85074,AAS61019
ABG11986,ABX85890,AAS63258
ABG15651,ABX88135,AAS64013
ABG16305,ABX88707,AAS58603
ABG13562,ABX86784,AAS62251
AAS63866,ABX87666,ABG16017
ABG14527,ABX85936,AAS61118
AAS62531,ABX87396,ABG13968
ABG14206,ABX84891,AAS62862
AAS62744,ABX85370,ABG14312
ABG15413,ABX85490,AAS60373
ABG14555,ABX86068,AAS61089
ABG12624,ABX87964,AAS61471
ABG15426,ABX84901,AAS60359
ABG14852,ABX88694,AAS60570
ABG14806,ABX86355,AAS60659
ABG14740,ABX85119,AAS60595
AAS58672,ABX84828,ABG16173
AAS63918,ABX87718,ABG15835
AAS63403,ABX86793,ABG12177
AAS60578,ABX84972,ABG14843
AAS61762,ABX87578,ABG13211
ABG13235,ABX88565,AAS61740
AAS62933,ABX87797,ABG14284
AAS62934,ABX85320,ABG14285
AAS63050,ABX87081,ABG12447
ABG12504,ABX87997,AAS62974
AAS63425,ABX87387,ABG12201
AAS61678,ABX87104,ABG12812
AAS61788,ABX87440,ABG13183
ABG14319,ABX87951,AAS62739
AAS60500,ABX88442,ABG15208
AAS63346,ABX88018,ABG12120
AAS60725,ABX88557,ABG15945
AAS60693,ABX85281,ABG15976
AAS61482,ABX86789,ABG12613
AAS62695,ABX85999,ABG14389
AAS63184,ABX86728,ABG15063
AAS64170,ABX87448,ABG16130
AAS61387,ABX87494,ABG14495
AAS61102,ABX87873,ABG14539
ABG12982,ABX85209,AAS61537
AAS63716,ABX86384,ABG12372
AAS63508,ABX87366,ABG15770
ABG16012,ABX85445,AAS63871
AAS62480,ABX85737,ABG13919
AAS60442,ABX87891,ABG15269
ABG13124,ABX87647,AAS61844
AAS61988,ABX87062,ABG13859
ABG15694,ABX87202,AAS63973
ABG12572,ABX86182,AAS61280
AAS62346,ABX85020,ABG13665
AAS60431,ABX87228,ABG15280
AAS62033,ABX88447,ABG13810
AAS63241,ABX85057,ABG12004
ABG16157,ABX84771,AAS58656
AAS63160,ABX87803,ABG15087
AAS63745,ABX85513,ABG12339
AAS62582,ABX84940,ABG14021
AAS63863,ABX86891,ABG16020
AAS61826,ABX85883,ABG13143
AAS60888,ABX85444,ABG14928
AAS61374,ABX87106,ABG14477
ABG14318,ABX88387,AAS62740
AAS61418,ABX87051,ABG12681
AAS62383,ABX85782,ABG13700
ABG13125,ABX87099,AAS61843
ABG14222,ABX88160,AAS62878
AAS62963,ABX87159,ABG12515
AAS62069,ABX87179,ABG13351
ABG13030,ABX86091,AAS61254
ABG14457,ABX87389,AAS61355
AAS60317,ABX85060,ABG15469
AAS62307,ABX87554,ABG13624
ABG12016,ABX85277,AAS60856
ABG13316,ABX88568,AAS61941
AAS58694,ABX84819,ABG16183
AAS62572,ABX85563,ABG14014
ABG13527,ABX85826,AAS62216
AAS63830,ABX86220,ABG16052
AAS63799,ABX86055,ABG15528
AAS62638,ABX88283,ABG14079
ABG14811,ABX88214,AAS60664
ABG13325,ABX85825,AAS62048
ABG15914,ABX84872,AAS60754
AAS63313,ABX88481,ABG12086
ABG12100,ABX88141,AAS63327
ABG15828,ABX85939,AAS63912
AAS63126,ABX86546,ABG15124
ABG13186,ABX85405,AAS61785
AAS62545,ABX85690,ABG13986
AAS62637,ABX86399,ABG14077
AAS63175,ABX85888,ABG15072
AAS60443,ABX85379,ABG15268
ABG16125,ABX84961,AAS64165
ABG14944,ABX87684,AAS60873
ABG14390,ABX84974,AAS62697
AAS62790,ABX87075,ABG14126
AAS63379,ABX85090,ABG12154
AAS62322,ABX85094,ABG13641
AAS61444,ABX87549,ABG12651
AAS63754,ABX88028,ABG12328
AAS63468,ABX88352,ABG15732
ABG16183,ABX84819,AAS58694
ABG13285,ABX87527,AAS61908
ABG14926,ABX86294,AAS60890
ABG12864,ABX86823,AAS61206
ABG14910,ABX87958,AAS60906
ABG14184,ABX87391,AAS62846
AAS60520,ABX88046,ABG15189
ABG14043,ABX87201,AAS62602
ABG11990,ABX88203,AAS63254
ABG15272,ABX88428,AAS60439
ABG15813,ABX85680,AAS63896
ABG16173,ABX84828,AAS58672
AAS62041,ABX86781,ABG13800
ABG12500,ABX86079,AAS62978
AAS61526,ABX87173,ABG12993
AAS61841,ABX85857,ABG13126
AAS63225,ABX88271,ABG15009
AAS61406,ABX88530,ABG14514
AAS63551,ABX88306,ABG16077
ABG16248,ABX88722,AAS58541
AAS60852,ABX86485,ABG12020
AAS63257,ABX86252,ABG11987
ABG12441,ABX85723,AAS63043
