('AAS60567', 'ABX85497', 'ABG14855')
('ABG12640', 'ABX88062', 'AAS61455')
('AAS61641', 'ABX85958', 'ABG12773')
('AAS63224', 'ABX87829', 'ABG15010')
('AAS60819', 'ABX87065', 'ABG12053')
('ABG15733', 'ABX86411', 'AAS63469')
('ABG13507', 'ABX86367', 'AAS62198')
('AAS62498', 'ABX87508', 'ABG13935')
('ABG13408', 'ABX87765', 'AAS62119')
('AAS63609', 'ABX88136', 'ABG12242')
('ABG15437', 'ABX85774', 'AAS60347')
('ABG14649', 'ABX86338', 'AAS61004')
('AAS62867', 'ABX85487', 'ABG14211')
('AAS61770', 'ABX86807', 'ABG13204')
('ABG15586', 'ABX87806', 'AAS63285')
('AAS58594', 'ABX88739', 'ABG16297')
('AAS60758', 'ABX87486', 'ABG15910')
('AAS62924', 'ABX87511', 'ABG14276')
('AAS60388', 'ABX85137', 'ABG12226')
('ABG15413', 'ABX85490', 'AAS60373')
('ABG12685', 'ABX85364', 'AAS61414')
('ABG13567', 'ABX87085', 'AAS62256')
('ABG16275', 'ABX88727', 'AAS58572')
('AAS62372', 'ABX88212', 'ABG13690')
('ABG12328', 'ABX88028', 'AAS63754')
('ABG16102', 'ABX88181', 'AAS64142')
('AAS63166', 'ABX85767', 'ABG15082')
('AAS58548', 'ABX88751', 'ABG16325')
('AAS60747', 'ABX87746', 'ABG15924')
('ABG14805', 'ABX85928', 'AAS60658')
('ABG13967', 'ABX87935', 'AAS62530')
('AAS63608', 'ABX85408', 'ABG12241')
('ABG15205', 'ABX87589', 'AAS60503')
('AAS62961', 'ABX87977', 'ABG12517')
('ABG13647', 'ABX87035', 'AAS62327')
('AAS61172', 'ABX85337', 'ABG12904')
('ABG15761', 'ABX85960', 'AAS63499')
('ABG14201', 'ABX88511', 'AAS62860')
('AAS63495', 'ABX85617', 'ABG15757')
('ABG14759', 'ABX87683', 'AAS60613')
('ABG13671', 'ABX85386', 'AAS62353')
('AAS61737', 'ABX86044', 'ABG13238')
('ABG13423', 'ABX87488', 'AAS62134')
('ABG12870', 'ABX85973', 'AAS61200')
('AAS63453', 'ABX87175', 'ABG15392')
('ABG15204', 'ABX86167', 'AAS60505')
('AAS61927', 'ABX87665', 'ABG13303')
('ABG15689', 'ABX85139', 'AAS63978')
('ABG14148', 'ABX86539', 'AAS62811')
('AAS63834', 'ABX85335', 'ABG16048')
('AAS61002', 'ABX87411', 'ABG14651')
('ABG15678', 'ABX86819', 'AAS63987')
('ABG15391', 'ABX88210', 'AAS63455')
('ABG12065', 'ABX86862', 'AAS63292')
('ABG14878', 'ABX88438', 'AAS60547')
('ABG14142', 'ABX85624', 'AAS62806')
('AAS62449', 'ABX85045', 'ABG13877')
('AAS61559', 'ABX86408', 'ABG12958')
('ABG15670', 'ABX88555', 'AAS63995')
('ABG12789', 'ABX87870', 'AAS61657')
('ABG14607', 'ABX85764', 'AAS61046')
('ABG13552', 'ABX84888', 'AAS62241')
('ABG14847', 'ABX86646', 'AAS60574')
('AAS63037', 'ABX85148', 'ABG12435')
('AAS61204', 'ABX88600', 'ABG12866')
('ABG16100', 'ABX85419', 'AAS64140')
('ABG16197', 'ABX84760', 'AAS58709')
('ABG14637', 'ABX88687', 'AAS61015')
('AAS62341', 'ABX88176', 'ABG13660')
('AAS63372', 'ABX85256', 'ABG12148')
('AAS63647', 'ABX87344', 'ABG12283')
('AAS63755', 'ABX88645', 'ABG12327')
('ABG13402', 'ABX87416', 'AAS62114')
('AAS61676', 'ABX86910', 'ABG12810')
('ABG16159', 'ABX84793', 'AAS58658')
('ABG12720', 'ABX87316', 'AAS61593')
('AAS63724', 'ABX85703', 'ABG12366')
('AAS62954', 'ABX87557', 'ABG12525')
('AAS63998', 'ABX87255', 'ABG15667')
('ABG13255', 'ABX86097', 'AAS61883')
('AAS62489', 'ABX84883', 'ABG13928')
('AAS62453', 'ABX84984', 'ABG13884')
('AAS60547', 'ABX88438', 'ABG14878')
('AAS60737', 'ABX85867', 'ABG15934')
('ABG13536', 'ABX84879', 'AAS62225')
('ABG14716', 'ABX86096', 'AAS60936')
('AAS64132', 'ABX86306', 'ABG14964')
('AAS60626', 'ABX86382', 'ABG14772')
('ABG12957', 'ABX86030', 'AAS61560')
('AAS61380', 'ABX88196', 'ABG14484')
('ABG14799', 'ABX84999', 'AAS60651')
('ABG12998', 'ABX87586', 'AAS61521')
('AAS60333', 'ABX86768', 'ABG15453')
('AAS60592', 'ABX86804', 'ABG14827')
('ABG15898', 'ABX87002', 'AAS60769')
('AAS62427', 'ABX87054', 'ABG13744')
('AAS63164', 'ABX84908', 'ABG15083')
('AAS63610', 'ABX87460', 'ABG12245')
('ABG12810', 'ABX86910', 'AAS61676')
('ABG15623', 'ABX87400', 'AAS64044')
('ABG13196', 'ABX85372', 'AAS61777')
('ABG12835', 'ABX88393', 'AAS61698')
('AAS64170', 'ABX87448', 'ABG16130')
('ABG13971', 'ABX87027', 'AAS62534')
('ABG13397', 'ABX85393', 'AAS62109')
('ABG11999', 'ABX88597', 'AAS63247')
('AAS61964', 'ABX86071', 'ABG13776')
('ABG13008', 'ABX88357', 'AAS61275')
('AAS62529', 'ABX88221', 'ABG13966')
('ABG14969', 'ABX88054', 'AAS64127')
('AAS60745', 'ABX88640', 'ABG15926')
('AAS63481', 'ABX87923', 'ABG15745')
('AAS63932', 'ABX88498', 'ABG15849')
('AAS63219', 'ABX85843', 'ABG15018')
('AAS62144', 'ABX87847', 'ABG13432')
('AAS62254', 'ABX85953', 'ABG13565')
('ABG12830', 'ABX85790', 'AAS61693')
('ABG13246', 'ABX86006', 'AAS61874')
('ABG13015', 'ABX86971', 'AAS61270')
('ABG13615', 'ABX87534', 'AAS62296')
('ABG15972', 'ABX86614', 'AAS60697')
('AAS61596', 'ABX87190', 'ABG12723')
('ABG15241', 'ABX87581', 'AAS60467')
('ABG13590', 'ABX87112', 'AAS62274')
('AAS61604', 'ABX85896', 'ABG12733')
('ABG13395', 'ABX88467', 'AAS62107')
('AAS60774', 'ABX85303', 'ABG15894')
('AAS62183', 'ABX87633', 'ABG13490')
('AAS61375', 'ABX87513', 'ABG14478')
('AAS62030', 'ABX87858', 'ABG13813')
('AAS63625', 'ABX86016', 'ABG12259')
('AAS61201', 'ABX85697', 'ABG12869')
('AAS63121', 'ABX85308', 'ABG15130')
('ABG14628', 'ABX85067', 'AAS61024')
('ABG12228', 'ABX88627', 'AAS60390')
('AAS60925', 'ABX86452', 'ABG14726')
('AAS63097', 'ABX87707', 'ABG15155')
('AAS62786', 'ABX88233', 'ABG14122')
('ABG14071', 'ABX86786', 'AAS62631')
('AAS61929', 'ABX87096', 'ABG13305')
('AAS63174', 'ABX87380', 'ABG15073')
('ABG13715', 'ABX88453', 'AAS62398')
('AAS58671', 'ABX84762', 'ABG16172')
('ABG12751', 'ABX87814', 'AAS61618')
('AAS62601', 'ABX85339', 'ABG14042')
('AAS61514', 'ABX86310', 'ABG12580')
('ABG13032', 'ABX86460', 'AAS61252')
('AAS60712', 'ABX87480', 'ABG15957')
('ABG13997', 'ABX85334', 'AAS62555')
('ABG12199', 'ABX87003', 'AAS63423')
('AAS61250', 'ABX88388', 'ABG13034')
('AAS61192', 'ABX86249', 'ABG12880')
('ABG12895', 'ABX85059', 'AAS61179')
('AAS60338', 'ABX87577', 'ABG15448')
('ABG14351', 'ABX86836', 'AAS62660')
('AAS58709', 'ABX84760', 'ABG16197')
('AAS61323', 'ABX85129', 'ABG14423')
('AAS62211', 'ABX87476', 'ABG13520')
('ABG15632', 'ABX85787', 'AAS64034')
('ABG16143', 'ABX84765', 'AAS58643')
('AAS61974', 'ABX88180', 'ABG13766')
('ABG14309', 'ABX87753', 'AAS62747')
('AAS64143', 'ABX85998', 'ABG16103')
('AAS60294', 'ABX87307', 'ABG15492')
('AAS60507', 'ABX86863', 'ABG15202')
('ABG12353', 'ABX85228', 'AAS63734')
('AAS62192', 'ABX88505', 'ABG13500')
('ABG13012', 'ABX88509', 'AAS61273')
('ABG15780', 'ABX85214', 'AAS63518')
('ABG13424', 'ABX86276', 'AAS62135')
('AAS62400', 'ABX86363', 'ABG13716')
('AAS61270', 'ABX86971', 'ABG13015')
('ABG12529', 'ABX84921', 'AAS62950')
('ABG13529', 'ABX87727', 'AAS62217')
('ABG15561', 'ABX86932', 'AAS60524')
('AAS60708', 'ABX88097', 'ABG15961')
('ABG13094', 'ABX88316', 'AAS61869')
('AAS62938', 'ABX87567', 'ABG14289')
('ABG16235', 'ABX84818', 'AAS58739')
('ABG16020', 'ABX86891', 'AAS63863')
('ABG15407', 'ABX87403', 'AAS60381')
('ABG13659', 'ABX85584', 'AAS62340')
('AAS62731', 'ABX88304', 'ABG14327')
('ABG12453', 'ABX86257', 'AAS63057')
('AAS61049', 'ABX87044', 'ABG14604')
('ABG15066', 'ABX87860', 'AAS63181')
('AAS61973', 'ABX88632', 'ABG13767')
('AAS62083', 'ABX88340', 'ABG13366')
('AAS61205', 'ABX87483', 'ABG12865')
('AAS60511', 'ABX87846', 'ABG15198')
('AAS62202', 'ABX87976', 'ABG13511')
('ABG14640', 'ABX86312', 'AAS61012')
('ABG13676', 'ABX88396', 'AAS62358')
('ABG13674', 'ABX85311', 'AAS62356')
('AAS61518', 'ABX87650', 'ABG13001')
('AAS62017', 'ABX86686', 'ABG13826')
('AAS61212', 'ABX88249', 'ABG12858')
('ABG16209', 'ABX84782', 'AAS58755')
('ABG12988', 'ABX86135', 'AAS61531')
('AAS63505', 'ABX88628', 'ABG15767')
('AAS63500', 'ABX86123', 'ABG15762')
('AAS61105', 'ABX87125', 'ABG14536')
('ABG14077', 'ABX86399', 'AAS62637')
('ABG13773', 'ABX85377', 'AAS61967')
('ABG14507', 'ABX84766', 'AAS63649')
('ABG14093', 'ABX86206', 'AAS62945')
('ABG12843', 'ABX85684', 'AAS61706')
('AAS61299', 'ABX86490', 'ABG12553')
('AAS60537', 'ABX86611', 'ABG14887')
('AAS58740', 'ABX84849', 'ABG16219')
('AAS61369', 'ABX87639', 'ABG14471')
('AAS63182', 'ABX85619', 'ABG15065')
('AAS63413', 'ABX85748', 'ABG12189')
('ABG13694', 'ABX87611', 'AAS62376')
('AAS60483', 'ABX86028', 'ABG15225')
('AAS60734', 'ABX88369', 'ABG15937')
('ABG14473', 'ABX88470', 'AAS61371')
('ABG16146', 'ABX84807', 'AAS58646')
('AAS63913', 'ABX86467', 'ABG15829')
('AAS60318', 'ABX86311', 'ABG15468')
('AAS62966', 'ABX85010', 'ABG12512')
('ABG14849', 'ABX87217', 'AAS60573')
('AAS61529', 'ABX85421', 'ABG12990')
('ABG14717', 'ABX85751', 'AAS60935')
('ABG14957', 'ABX88162', 'AAS64137')
('ABG16039', 'ABX85565', 'AAS63842')
('AAS62593', 'ABX85168', 'ABG14032')
('ABG15570', 'ABX86426', 'AAS63268')
('AAS63819', 'ABX88654', 'ABG15549')
('AAS60559', 'ABX85626', 'ABG14864')
('ABG14724', 'ABX86500', 'AAS60927')
('AAS62402', 'ABX86751', 'ABG13718')
('ABG14636', 'ABX88556', 'AAS61016')
('AAS58691', 'ABX84747', 'ABG16181')
('AAS61457', 'ABX84973', 'ABG12637')
('AAS61779', 'ABX85079', 'ABG13192')
('AAS64037', 'ABX87723', 'ABG15629')
('ABG12055', 'ABX87703', 'AAS60815')
('ABG12178', 'ABX88516', 'AAS63404')
('ABG12133', 'ABX86476', 'AAS63359')
('ABG12169', 'ABX86214', 'AAS63394')
('ABG13812', 'ABX85410', 'AAS62031')
('ABG12159', 'ABX86072', 'AAS63384')
('AAS60427', 'ABX85621', 'ABG15284')
('AAS62106', 'ABX86090', 'ABG13393')
('AAS61355', 'ABX87389', 'ABG14457')
('AAS63200', 'ABX88281', 'ABG15041')
('ABG15227', 'ABX84886', 'AAS60481')
('ABG15762', 'ABX86123', 'AAS63500')
('ABG14776', 'ABX86297', 'AAS60630')
('ABG15580', 'ABX85689', 'AAS63279')
('ABG12990', 'ABX85421', 'AAS61529')
('ABG13765', 'ABX88191', 'AAS61975')
('ABG13982', 'ABX86923', 'AAS62541')
('ABG12053', 'ABX87065', 'AAS60819')
('AAS62633', 'ABX87788', 'ABG14073')
('ABG14714', 'ABX85192', 'AAS60938')
('ABG13258', 'ABX88274', 'AAS61886')
('AAS62214', 'ABX88002', 'ABG13525')
('ABG15935', 'ABX86341', 'AAS60736')
('AAS60602', 'ABX85503', 'ABG14747')
('ABG16090', 'ABX85355', 'AAS63562')
('ABG13545', 'ABX88113', 'AAS62234')
('AAS61707', 'ABX85309', 'ABG12844')
('ABG12331', 'ABX88450', 'AAS63751')
('AAS63983', 'ABX86718', 'ABG15684')
('ABG12202', 'ABX86037', 'AAS63426')
('AAS62125', 'ABX88224', 'ABG13414')
('AAS62419', 'ABX88682', 'ABG13736')
('AAS62534', 'ABX87027', 'ABG13971')
('AAS62137', 'ABX85677', 'ABG13426')
('AAS63239', 'ABX86948', 'ABG12006')
('ABG12772', 'ABX87535', 'AAS61640')
('ABG12695', 'ABX85314', 'AAS61569')
('ABG12983', 'ABX85607', 'AAS61536')
('AAS60335', 'ABX88228', 'ABG15451')
('AAS61677', 'ABX87462', 'ABG12811')
('ABG15528', 'ABX86055', 'AAS63799')
('AAS63044', 'ABX85604', 'ABG12442')
('ABG15086', 'ABX88231', 'AAS63161')
('AAS63175', 'ABX85888', 'ABG15072')
('ABG14313', 'ABX88692', 'AAS62743')
('ABG14558', 'ABX86838', 'AAS61087')
('ABG12481', 'ABX85941', 'AAS62996')
('ABG12386', 'ABX85811', 'AAS63701')
('AAS62195', 'ABX85422', 'ABG13504')
('AAS63937', 'ABX87640', 'ABG15853')
('ABG15311', 'ABX86212', 'AAS60401')
('AAS60460', 'ABX86671', 'ABG15250')
('AAS63700', 'ABX85081', 'ABG12388')
('ABG12146', 'ABX87783', 'AAS63370')
('AAS60927', 'ABX86500', 'ABG14724')
('ABG16075', 'ABX87912', 'AAS63549')
('ABG12771', 'ABX85354', 'AAS61639')
('AAS64044', 'ABX87400', 'ABG15623')
('ABG14204', 'ABX88040', 'AAS62861')
('ABG15993', 'ABX85763', 'AAS60676')
('AAS62645', 'ABX88656', 'ABG14086')
('AAS60305', 'ABX85216', 'ABG15481')
('AAS62858', 'ABX87768', 'ABG14199')
('ABG15165', 'ABX88068', 'AAS63087')
('ABG14976', 'ABX85330', 'AAS64119')
('AAS62433', 'ABX85990', 'ABG13749')
('AAS61723', 'ABX85143', 'ABG13084')
('AAS60826', 'ABX88633', 'ABG12046')
('ABG13775', 'ABX86563', 'AAS61965')
('AAS61543', 'ABX87529', 'ABG12976')
('AAS64042', 'ABX85554', 'ABG15625')
('ABG12976', 'ABX87529', 'AAS61543')
('ABG13203', 'ABX86483', 'AAS61771')
('ABG12950', 'ABX87522', 'AAS61566')
('AAS60800', 'ABX84907', 'ABG15871')
('ABG13526', 'ABX86238', 'AAS62215')
('ABG14102', 'ABX86128', 'AAS62767')
('AAS62608', 'ABX87285', 'ABG14049')
('AAS60355', 'ABX87271', 'ABG15430')
('AAS61994', 'ABX85934', 'ABG13853')
('ABG13298', 'ABX85085', 'AAS61922')
('ABG12924', 'ABX87176', 'AAS61155')
('AAS61253', 'ABX86647', 'ABG13031')
('AAS62075', 'ABX87805', 'ABG13357')
('AAS62499', 'ABX87764', 'ABG13936')
('ABG13718', 'ABX86751', 'AAS62402')
('ABG12842', 'ABX88315', 'AAS61705')
('AAS61952', 'ABX88411', 'ABG13788')
('AAS64064', 'ABX86120', 'ABG15603')
('ABG15087', 'ABX87803', 'AAS63160')
('ABG14488', 'ABX86148', 'AAS61382')
('ABG16021', 'ABX87289', 'AAS63862')
('ABG14119', 'ABX88208', 'AAS62783')
('ABG12702', 'ABX86089', 'AAS61576')
('AAS64045', 'ABX86990', 'ABG15622')
('ABG13699', 'ABX85243', 'AAS62382')
('ABG15608', 'ABX87960', 'AAS64059')
('AAS62779', 'ABX85282', 'ABG14115')
('ABG15845', 'ABX85637', 'AAS63928')
('AAS63185', 'ABX87893', 'ABG15060')
('AAS60957', 'ABX86975', 'ABG14694')
('ABG15931', 'ABX86314', 'AAS60740')
('ABG12768', 'ABX87571', 'AAS61636')
('ABG13993', 'ABX87418', 'AAS62551')
('AAS60450', 'ABX87690', 'ABG15260')
('ABG14187', 'ABX85204', 'AAS62849')
('AAS63837', 'ABX86859', 'ABG16045')
('AAS62056', 'ABX88067', 'ABG13338')
('AAS62025', 'ABX86095', 'ABG13817')
('AAS61903', 'ABX87328', 'ABG13276')
('ABG12979', 'ABX86934', 'AAS61540')
('ABG12632', 'ABX85532', 'AAS61462')
('AAS61799', 'ABX86771', 'ABG13170')
('AAS60914', 'ABX86171', 'ABG14901')
('AAS61693', 'ABX85790', 'ABG12830')
('ABG13224', 'ABX86204', 'AAS61747')
('ABG14118', 'ABX85716', 'AAS62782')
('ABG13300', 'ABX87854', 'AAS61924')
('AAS58563', 'ABX88745', 'ABG16267')
('AAS63470', 'ABX86587', 'ABG15734')
('ABG14153', 'ABX86622', 'AAS62816')
('ABG13234', 'ABX87894', 'AAS61741')
('AAS63945', 'ABX87241', 'ABG15719')
('AAS61031', 'ABX86454', 'ABG14621')
('ABG13305', 'ABX87096', 'AAS61929')
('AAS63960', 'ABX87292', 'ABG15706')
('ABG16166', 'ABX84805', 'AAS58665')
('AAS62675', 'ABX87039', 'ABG14368')
('ABG13148', 'ABX85758', 'AAS61821')
('AAS63875', 'ABX85197', 'ABG16008')
('ABG15107', 'ABX87154', 'AAS63139')
('ABG14164', 'ABX88270', 'AAS62826')
('ABG14367', 'ABX84882', 'AAS62674')
('ABG12384', 'ABX85587', 'AAS63703')
('ABG13270', 'ABX85188', 'AAS61897')
('AAS63747', 'ABX85259', 'ABG12337')
('ABG14832', 'ABX87732', 'AAS60589')
('ABG13569', 'ABX87865', 'AAS62258')
('ABG12013', 'ABX87309', 'AAS60859')
('ABG13296', 'ABX85913', 'AAS61920')
('ABG13748', 'ABX87077', 'AAS62432')
('ABG14712', 'ABX87658', 'AAS60940')
('ABG13983', 'ABX85255', 'AAS62542')
('AAS63222', 'ABX87755', 'ABG15012')
('AAS60677', 'ABX88169', 'ABG15992')
('AAS63283', 'ABX85262', 'ABG15584')
('ABG16241', 'ABX84752', 'AAS58766')
('AAS58657', 'ABX84853', 'ABG16158')
('AAS63938', 'ABX88168', 'ABG15854')
('ABG12147', 'ABX85695', 'AAS63371')
('AAS62848', 'ABX86336', 'ABG14186')
('ABG14033', 'ABX85571', 'AAS62594')
('AAS61373', 'ABX85853', 'ABG14475')
('AAS60919', 'ABX86404', 'ABG14732')
('ABG15543', 'ABX85451', 'AAS63813')
('ABG12828', 'ABX85198', 'AAS61691')
('ABG15161', 'ABX86284', 'AAS63091')
('ABG13204', 'ABX86807', 'AAS61770')
('ABG15286', 'ABX87903', 'AAS60425')
('ABG12071', 'ABX86491', 'AAS63298')
('AAS61296', 'ABX88624', 'ABG12556')
('ABG13810', 'ABX88447', 'AAS62033')
('ABG14565', 'ABX86697', 'AAS61084')
('AAS64046', 'ABX87664', 'ABG15621')
('AAS63694', 'ABX87331', 'ABG12393')
('AAS62740', 'ABX88387', 'ABG14318')
('AAS62243', 'ABX86056', 'ABG13554')
('AAS60943', 'ABX86759', 'ABG14710')
('ABG12322', 'ABX88589', 'AAS63760')
('ABG15621', 'ABX87664', 'AAS64046')
('ABG14163', 'ABX84982', 'AAS62825')
('ABG14245', 'ABX84906', 'AAS62897')
('AAS60415', 'ABX87158', 'ABG15295')
('ABG15063', 'ABX86728', 'AAS63184')
('ABG15431', 'ABX86987', 'AAS60354')
('ABG13506', 'ABX84979', 'AAS62197')
('ABG13172', 'ABX88262', 'AAS61797')
('AAS60754', 'ABX84872', 'ABG15914')
('AAS61775', 'ABX87221', 'ABG13198')
('ABG13802', 'ABX87358', 'AAS62038')
('AAS62953', 'ABX86905', 'ABG12526')
('ABG12613', 'ABX86789', 'AAS61482')
('AAS62566', 'ABX87484', 'ABG14008')
('AAS61428', 'ABX87111', 'ABG12670')
('AAS62580', 'ABX86503', 'ABG14020')
('ABG13764', 'ABX84937', 'AAS61976')
('AAS63680', 'ABX85997', 'ABG12407')
('AAS58598', 'ABX88747', 'ABG16301')
('AAS62506', 'ABX87651', 'ABG13944')
('AAS62870', 'ABX88063', 'ABG14214')
('ABG14673', 'ABX86335', 'AAS60981')
('AAS61939', 'ABX87162', 'ABG13314')
('AAS62366', 'ABX88533', 'ABG13684')
('AAS63275', 'ABX88074', 'ABG15576')
('AAS62219', 'ABX85891', 'ABG13531')
('ABG12368', 'ABX86357', 'AAS63722')
('ABG14076', 'ABX85824', 'AAS62636')
('ABG12684', 'ABX86729', 'AAS61415')
('ABG15394', 'ABX85851', 'AAS63451')
('ABG15707', 'ABX86737', 'AAS63959')
('ABG12431', 'ABX85814', 'AAS63033')
('AAS63030', 'ABX85225', 'ABG12428')
('AAS62024', 'ABX85058', 'ABG13818')
('ABG12142', 'ABX86557', 'AAS63366')
('AAS60797', 'ABX85002', 'ABG15874')
('ABG12858', 'ABX88249', 'AAS61212')
('ABG15109', 'ABX87135', 'AAS63137')
('ABG13741', 'ABX86638', 'AAS62424')
('AAS64140', 'ABX85419', 'ABG16100')
('ABG13898', 'ABX85612', 'AAS62467')
('AAS62772', 'ABX87929', 'ABG14108')
('ABG15287', 'ABX87045', 'AAS60424')
('AAS64122', 'ABX87301', 'ABG14973')
('AAS61295', 'ABX85678', 'ABG12557')
('ABG15048', 'ABX86254', 'AAS63194')
('AAS62124', 'ABX87817', 'ABG13413')
('ABG14540', 'ABX88435', 'AAS61101')
('AAS60516', 'ABX85024', 'ABG15193')
('ABG14822', 'ABX88612', 'AAS60671')
('ABG15477', 'ABX86348', 'AAS60309')
('ABG14482', 'ABX87377', 'AAS61378')
('AAS62849', 'ABX85204', 'ABG14187')
('AAS63377', 'ABX86831', 'ABG12152')
('ABG13702', 'ABX88157', 'AAS62385')
('AAS61798', 'ABX87704', 'ABG13171')
('ABG12399', 'ABX85671', 'AAS63688')
('AAS63280', 'ABX87303', 'ABG15581')
('ABG16319', 'ABX88718', 'AAS58536')
('ABG14561', 'ABX85569', 'AAS61086')
('ABG12241', 'ABX85408', 'AAS63608')
('AAS63655', 'ABX88591', 'ABG12292')
('AAS61909', 'ABX86219', 'ABG13286')
('AAS62002', 'ABX87150', 'ABG13845')
('ABG12965', 'ABX87385', 'AAS61552')
('AAS62851', 'ABX86154', 'ABG14192')
('AAS60586', 'ABX87850', 'ABG14835')
('AAS62536', 'ABX85454', 'ABG13973')
('AAS60669', 'ABX85495', 'ABG14820')
('AAS63669', 'ABX88142', 'ABG12307')
('ABG15637', 'ABX85473', 'AAS64029')
('ABG12213', 'ABX85439', 'AAS63437')
('ABG15202', 'ABX86863', 'AAS60507')
('AAS60795', 'ABX88383', 'ABG15876')
('ABG16255', 'ABX88776', 'AAS58549')
('AAS60550', 'ABX86982', 'ABG14875')
('ABG12610', 'ABX86604', 'AAS61485')
('AAS60379', 'ABX86112', 'ABG15409')
('AAS62712', 'ABX86679', 'ABG14409')
('AAS61190', 'ABX87818', 'ABG12882')
('AAS62963', 'ABX87159', 'ABG12515')
('AAS60855', 'ABX85785', 'ABG12017')
('ABG16031', 'ABX86432', 'AAS63851')
('ABG15651', 'ABX88135', 'AAS64013')
('AAS62431', 'ABX88570', 'ABG13747')
('ABG14014', 'ABX85563', 'AAS62572')
('ABG15393', 'ABX88300', 'AAS63452')
('AAS64108', 'ABX85187', 'ABG14992')
('ABG13376', 'ABX87441', 'AAS62090')
('ABG14524', 'ABX85668', 'AAS61123')
('ABG15944', 'ABX88005', 'AAS60726')
('AAS63646', 'ABX86774', 'ABG12282')
('AAS62456', 'ABX87177', 'ABG13887')
('ABG15976', 'ABX85281', 'AAS60693')
('ABG15788', 'ABX85304', 'AAS63525')
('AAS60328', 'ABX86270', 'ABG15458')
('ABG12792', 'ABX87236', 'AAS61660')
('ABG14195', 'ABX87763', 'AAS62854')
('AAS63264', 'ABX85177', 'ABG15566')
('AAS60594', 'ABX87593', 'ABG14739')
('AAS64148', 'ABX87915', 'ABG16108')
('AAS62161', 'ABX85297', 'ABG13468')
('AAS60895', 'ABX85030', 'ABG14922')
('ABG14001', 'ABX88672', 'AAS62559')
('AAS61726', 'ABX85466', 'ABG13088')
('AAS58532', 'ABX88744', 'ABG16315')
('AAS62828', 'ABX85218', 'ABG14166')
('ABG14602', 'ABX85447', 'AAS61051')
('ABG16063', 'ABX87528', 'AAS63538')
('ABG14883', 'ABX85526', 'AAS60541')
('ABG12880', 'ABX86249', 'AAS61192')
('AAS61997', 'ABX85461', 'ABG13850')
('AAS63858', 'ABX85644', 'ABG16025')
('AAS60944', 'ABX86377', 'ABG14709')
('ABG15502', 'ABX86246', 'AAS63771')
('ABG16298', 'ABX88703', 'AAS58596')
('AAS63387', 'ABX85622', 'ABG12162')
('AAS63891', 'ABX87383', 'ABG15807')
('AAS63639', 'ABX87014', 'ABG12275')
('AAS63394', 'ABX86214', 'ABG12169')
('ABG14694', 'ABX86975', 'AAS60957')
('ABG12124', 'ABX84995', 'AAS63350')
('ABG12418', 'ABX88693', 'AAS63020')
('ABG14853', 'ABX87187', 'AAS60569')
('ABG12283', 'ABX87344', 'AAS63647')
('AAS63794', 'ABX88215', 'ABG15522')
('ABG15904', 'ABX86253', 'AAS60762')
('ABG12381', 'ABX87180', 'AAS63706')
('AAS62985', 'ABX88292', 'ABG12493')
('AAS60884', 'ABX88446', 'ABG14932')
('AAS63698', 'ABX86351', 'ABG12390')
('ABG12388', 'ABX85081', 'AAS63700')
('AAS63127', 'ABX86845', 'ABG15123')
('ABG15432', 'ABX86665', 'AAS60353')
('AAS63615', 'ABX86001', 'ABG12250')
('AAS60809', 'ABX84871', 'ABG15862')
('AAS60465', 'ABX87170', 'ABG15243')
('AAS58694', 'ABX84819', 'ABG16183')
('ABG12086', 'ABX88481', 'AAS63313')
('AAS61069', 'ABX86328', 'ABG14581')
('ABG15631', 'ABX85965', 'AAS64035')
('AAS58684', 'ABX84787', 'ABG16176')
('ABG12518', 'ABX88535', 'AAS62960')
('ABG12114', 'ABX86380', 'AAS63340')
('ABG13621', 'ABX85428', 'AAS62303')
('ABG15968', 'ABX86792', 'AAS60701')
('ABG14622', 'ABX85068', 'AAS61030')
('AAS60310', 'ABX85870', 'ABG15476')
('AAS60753', 'ABX85270', 'ABG15915')
('ABG14391', 'ABX88184', 'AAS62698')
('ABG16016', 'ABX87250', 'AAS63867')
('AAS62023', 'ABX88322', 'ABG13819')
('ABG14062', 'ABX85036', 'AAS62622')
('AAS58646', 'ABX84807', 'ABG16146')
('AAS63682', 'ABX85238', 'ABG12405')
('ABG12589', 'ABX88477', 'AAS61505')
('AAS60808', 'ABX87840', 'ABG15863')
('ABG13030', 'ABX86091', 'AAS61254')
('AAS61466', 'ABX87338', 'ABG12628')
('AAS61331', 'ABX84873', 'ABG14432')
('AAS62294', 'ABX86299', 'ABG13613')
('AAS63208', 'ABX86545', 'ABG15030')
('AAS61442', 'ABX86766', 'ABG12653')
('AAS62969', 'ABX87038', 'ABG12509')
('ABG12450', 'ABX86457', 'AAS63054')
('AAS61475', 'ABX86864', 'ABG12620')
('AAS64158', 'ABX86525', 'ABG16118')
('AAS60939', 'ABX88593', 'ABG14713')
('AAS60923', 'ABX86403', 'ABG14728')
('AAS63382', 'ABX87747', 'ABG12157')
('ABG15879', 'ABX86159', 'AAS60791')
('AAS62361', 'ABX88298', 'ABG13679')
('AAS63656', 'ABX86443', 'ABG12293')
('AAS62057', 'ABX86465', 'ABG13339')
('ABG15942', 'ABX85845', 'AAS60728')
('AAS61313', 'ABX88188', 'ABG12540')
('ABG12691', 'ABX87138', 'AAS61132')
